kind,is_rep,variant,band,i,j,pair,dt_days,phase_days,hrsn_cc,das_cc,z_lo,z_hi,dvv,err,n,rms,dvv_edge,tau_s
repeater,True,main,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,75.0,250.0,0.026397617996531866,0.04104154265335425,110,0.007889087184059767,0.09984231492547546,0.052763774591917764
repeater,True,main,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,250.0,550.0,0.005897364482197741,0.024315138525533898,157,0.008640130928481763,-0.03519903626171615,0.09785539564309136
repeater,True,main,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,550.0,850.0,0.024147447338430723,0.049557905423837,111,0.010081803012195249,0.05103104599387309,0.07761748272974536
repeater,True,main,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,2.0,25.0,,,2,,,
repeater,True,main,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,25.0,50.0,0.7319744523448337,0.5236043630131232,8,0.003994835968078542,,0.01823659157543684
repeater,True,main,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,50.0,100.0,-0.12747548962737157,0.11436691690453786,44,0.005619990809287173,0.24062473048843674,0.025170288522337637
repeater,True,main,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,100.0,200.0,0.002462116675646984,0.12427642963664133,61,0.00856373908037101,-0.05090849835396326,0.03317922861328666
repeater,True,main,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,200.0,400.0,-0.026024485929477644,0.042904609763690954,113,0.007671170591735969,-0.09491066652115986,0.06090874428561975
repeater,True,main,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,400.0,600.0,0.07810575738793618,0.05608115580598374,92,0.009399163447426065,-0.014046209631728257,0.06509885812265248
repeater,True,main,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,600.0,850.0,-0.048954350636745525,0.07056392595346021,90,0.010128708490942969,0.14117105876140237,0.06191701608881667
repeater,True,acausal,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,2.0,75.0,,,1,,,
repeater,True,acausal,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,75.0,250.0,0.3606956033998329,0.2668014313378254,11,0.011484703201851524,,0.052763774591917764
repeater,True,acausal,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,250.0,550.0,-0.23248312343680164,0.5775632911866729,7,0.010667034315225771,,0.09785539564309136
repeater,True,acausal,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,550.0,850.0,-0.2579004466708487,0.2879392413741827,13,0.012863479868714124,,0.07761748272974536
repeater,True,acausal,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,2.0,25.0,,,0,,,
repeater,True,acausal,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,25.0,50.0,,,1,,,
repeater,True,acausal,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,50.0,100.0,,,3,,,
repeater,True,acausal,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,100.0,200.0,-0.520125725912483,5.333097110604722,7,0.011502824619507922,-0.8941464020662304,0.03317922861328666
repeater,True,acausal,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,200.0,400.0,-0.38534207977409396,1.334950863387466,6,0.011090217470750419,,0.06090874428561975
repeater,True,acausal,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,400.0,600.0,,,4,,,
repeater,True,acausal,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,600.0,850.0,-0.3005128417523484,0.41564516734317264,11,0.012032649436370495,,0.06191701608881667
repeater,True,snr_eq,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,2.0,75.0,-0.12916541809081966,0.10451810470532623,34,0.005900703707558647,,0.06542062332082034
repeater,True,snr_eq,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,75.0,250.0,-0.0350214265981484,0.04081878504216557,95,0.0074293747420643656,0.009407941331572037,0.052763774591917764
repeater,True,snr_eq,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,250.0,550.0,-0.04328803811558324,0.025525612123721994,153,0.008441933935671726,0.02623707519862567,0.09785539564309136
repeater,True,snr_eq,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,550.0,850.0,-0.008199108397582899,0.047881576845239436,106,0.009812940265353787,0.10377341536279344,0.07761748272974536
repeater,True,snr_eq,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,2.0,25.0,,,2,,,
repeater,True,snr_eq,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,25.0,50.0,-0.762509732002843,0.6577312371578791,11,0.005039374866200211,,0.01823659157543684
repeater,True,snr_eq,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,50.0,100.0,-0.028335424875139622,0.12007369821049904,41,0.0059885598019858086,0.18427784744719647,0.025170288522337637
repeater,True,snr_eq,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,100.0,200.0,0.13652433172339734,0.0924555412861465,54,0.007990396436916887,0.10355656184578206,0.03317922861328666
repeater,True,snr_eq,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,200.0,400.0,0.029985074742314634,0.04670326653675239,99,0.007891137404382973,-0.09599688586410408,0.06090874428561975
repeater,True,snr_eq,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,400.0,600.0,-0.0047879904668708916,0.05562539630417752,93,0.008657262482403685,0.08668002234316259,0.06509885812265248
repeater,True,snr_eq,5-20,0,130,2024-05-10/2025-04-06,331.0988425925926,35.0,0.9169728508880156,0.6771297700851776,600.0,850.0,-0.05991113613597127,0.06397022614133009,88,0.010025856537064037,0.06831398458788113,0.06191701608881667
repeater,True,main,5-30,125,148,2025-04-06/2025-05-11,35.24469907407408,35.0,0.7859882755893757,0.6679528992234933,2.0,75.0,0.01945112833310296,0.05210388444084141,42,0.006462686843725296,-0.008335907395986253,0.06542062332082034
repeater,True,main,5-30,125,148,2025-04-06/2025-05-11,35.24469907407408,35.0,0.7859882755893757,0.6679528992234933,75.0,250.0,0.004475713712864298,0.0268270635829544,130,0.005039994708154681,-0.06753675456980258,0.052763774591917764
repeater,True,main,5-30,125,148,2025-04-06/2025-05-11,35.24469907407408,35.0,0.7859882755893757,0.6679528992234933,250.0,550.0,-0.025335351211735357,0.011252773241919896,229,0.005076319245430368,0.07304772376405404,0.09785539564309136
repeater,True,main,5-30,125,148,2025-04-06/2025-05-11,35.24469907407408,35.0,0.7859882755893757,0.6679528992234933,550.0,850.0,0.011795238917780638,0.008120602252190894,163,0.0022152489983113294,,0.07761748272974536
repeater,True,main,5-30,125,148,2025-04-06/2025-05-11,35.24469907407408,35.0,0.7859882755893757,0.6679528992234933,2.0,25.0,-0.7677433602872682,0.7255971279005958,6,0.0039512934100972685,0.48180771513559806,0.029146549077424776
repeater,True,main,5-30,125,148,2025-04-06/2025-05-11,35.24469907407408,35.0,0.7859882755893757,0.6679528992234933,25.0,50.0,0.4353276108512267,0.34072500890802304,14,0.00444238574094598,-0.46265342833445455,0.01823659157543684
repeater,True,main,5-30,125,148,2025-04-06/2025-05-11,35.24469907407408,35.0,0.7859882755893757,0.6679528992234933,50.0,100.0,-0.04938940833966201,0.026773246693540392,31,0.0011822568610342856,0.05823454808949843,0.025170288522337637
