idx,tag,time,mag,depth,lat,lon,t,r,km_safod,cl
151,ev_20250504T160744,2025-05-04 16:07:44+00:00,0.55,1.665,36.05371,-120.62582,-10.843623781015008,0.4325159932644347,10.852246163289136,158
152,ev_20250509T223833,2025-05-09 22:38:33+00:00,1.04,0.926,36.0588,-120.63183,-11.626184240459024,0.4503397403610716,11.63490291643408,175
153,ev_20250511T093453,2025-05-11 09:34:53+00:00,1.13,0.155,36.05728,-120.63971,-12.008018510443662,-0.1705090667438549,12.00922902975039,107
154,ev_20250511T121311,2025-05-11 12:13:11+00:00,1.07,0.21,36.01223,-120.5722,-4.170920465648778,0.5826383877397017,4.211418409708983,176
155,ev_20250511T140932,2025-05-11 14:09:32+00:00,0.82,1.766,36.0029,-120.56214,-2.7973284337182327,0.4891214516868973,2.839768680823986,123
156,ev_20250513T122116,2025-05-13 12:21:16+00:00,0.8,0.367,36.0463,-120.61857,-9.79976618251382,0.3111777233036417,9.8047054421549,187
157,ev_20250515T000724,2025-05-15 00:07:24+00:00,0.49,5.266,35.95572,-120.49605,5.11689376129296,0.9844582116060332,5.210735047453226,52
158,ev_20250516T103030,2025-05-16 10:30:30+00:00,0.7,4.106,36.00836,-120.57136,-3.813206171005856,0.3318090911617335,3.8276152596067856,62
159,ev_20250516T104932,2025-05-16 10:49:32+00:00,0.83,3.9,36.00969,-120.57066,-3.873239615135458,0.4809133670118282,3.902981268572183,93
160,ev_20250519T125043,2025-05-19 12:50:43+00:00,1.89,10.051,35.93047,-120.47191,8.637965264009761,0.5350579628161922,8.654520837447457,27
161,ev_20250519T145612,2025-05-19 14:56:12+00:00,2.0,4.812,36.01102,-120.56726,-3.761493598088832,0.8017971040392688,3.845999568968908,91
162,ev_20250521T013309,2025-05-21 01:33:09+00:00,1.02,3.698,36.03863,-120.59823,-7.902654274639132,1.0022096971555934,7.96595059371729,65
163,ev_20250525T133211,2025-05-25 13:32:11+00:00,0.9,4.341,36.03514,-120.5905,-7.136461061022953,1.2196129538309548,7.239926258785315,66
164,ev_20250526T080251,2025-05-26 08:02:51+00:00,0.91,4.76,36.02331,-120.57961,-5.513504742786216,0.982344289085156,5.6003334589133456,48
165,ev_20250527T121449,2025-05-27 12:14:49+00:00,1.75,2.916,35.97996,-120.54167,0.3086306469134432,-0.0121520213272424,0.3088697910714937,72
166,ev_20250527T175144,2025-05-27 17:51:44+00:00,0.62,3.259,36.02062,-120.57664,-5.113050919421301,0.959805280309172,5.20235676215159,165
167,ev_20250527T223638,2025-05-27 22:36:38+00:00,0.79,2.375,36.03841,-120.60214,-8.134119278572149,0.7361504839027098,8.167362730587474,95
168,ev_20250529T100922,2025-05-29 10:09:22+00:00,2.57,3.736,36.05031,-120.60573,-9.29813845561542,1.4433635382632528,9.409499298229536,2
169,ev_20250531T095921,2025-05-31 09:59:21+00:00,0.75,3.79,35.98872,-120.54688,-0.7115793494162372,0.3451164989057586,0.7908543281367334,14
170,ev_20250602T204939,2025-06-02 20:49:39+00:00,1.7,6.664,36.0547,-120.60643,-9.687829732646652,1.743983983572186,9.843552461571424,190
171,ev_20250602T210152,2025-06-02 21:01:52+00:00,0.67,6.141,36.05206,-120.60261,-9.237228350172616,1.7794548542055972,9.407063684880027,191
172,ev_20250602T234113,2025-06-02 23:41:13+00:00,1.88,2.453,36.01052,-120.57085,-3.950585057929941,0.5340824411976521,3.986523090856864,177
173,ev_20250607T150930,2025-06-07 15:09:30+00:00,1.16,4.913,36.02541,-120.58009,-5.709152039961959,1.116914444509756,5.8173804149081,160
174,ev_20250618T225624,2025-06-18 22:56:24+00:00,3.35,11.08,35.94331,-120.48973,6.494698893723308,0.4108354455726748,6.507680038498332,114
175,ev_20250618T230616,2025-06-18 23:06:16+00:00,2.38,11.001,35.94512,-120.4904,6.309764141111785,0.5105166878225869,6.330383148357253,117
176,ev_20250619T004739,2025-06-19 00:47:39+00:00,0.72,11.542,35.95337,-120.48849,5.782640779637359,1.280676175849833,5.92275829776248,115
177,ev_20250619T060448,2025-06-19 06:04:48+00:00,0.86,10.835,35.944,-120.4893,6.467806353395325,0.4924429253857942,6.486525962314762,171
178,ev_20250621T122202,2025-06-21 12:22:02+00:00,2.28,10.991,35.93904,-120.48583,7.078545858898997,0.323240257127515,7.085922363416354,121
179,ev_20250621T162159,2025-06-21 16:21:59+00:00,2.41,8.028,36.05394,-120.60452,-9.506558035089263,1.805748412569426,9.67653724242393,137
180,ev_20250626T213259,2025-06-26 21:32:59+00:00,1.53,4.198,36.03069,-120.58456,-6.408672993083551,1.2476545150694145,6.528991600641831,168
181,ev_20250627T134234,2025-06-27 13:42:34+00:00,0.94,4.573,36.03481,-120.59715,-7.533601854708108,0.7705808461659993,7.572909067573661,38
182,ev_20250630T041215,2025-06-30 04:12:15+00:00,1.08,10.938,35.94037,-120.48685,6.909082535797662,0.3629146540069925,6.918607412807671,183
183,ev_20250701T112654,2025-07-01 11:26:54+00:00,1.86,5.004,35.99345,-120.54749,-1.1222765334280498,0.6781948152755304,1.3112790797347036,85
184,ev_20250703T073029,2025-07-03 07:30:29+00:00,0.67,4.559,35.99858,-120.56574,-2.68671547832672,-0.0795700668427137,2.6878934980794407,73
185,ev_20250708T104307,2025-07-08 10:43:07+00:00,2.25,8.206,36.03485,-120.58956,-7.053855630854455,1.2566169262594258,7.164912097178778,132
186,ev_20250708T233415,2025-07-08 23:34:15+00:00,2.83,10.599,35.93142,-120.47368,8.450662241054307,0.4971390255614789,8.465272560474189,141
187,ev_20250711T021610,2025-07-11 02:16:10+00:00,3.15,10.547,35.94125,-120.48597,6.895881497097532,0.4880904525863276,6.913133436576936,134
