kind,win,i,j,lab,contam,inc,rad,R,offset_m,dvv,err,n,rms,tau_span,coh_med
null,coda,7,64,ctl,0.011182038916317744,52.99937894049971,67.54900157596033,8016.295758634525,,,,0,,,1.4918058755874859e-53
null,coda,3,54,ctl,0.0121787968201091,79.26257020902828,16.967542052067394,7347.009715069518,,,,0,,,2.0161027530752886e-29
null,coda,8,148,ctl,0.0060037183966205,68.7379805611302,20.399472352076014,8732.021239087993,,,,0,,,5.214939861441866e-41
null,coda,45,144,ctl,0.012768432294668255,82.91899229740432,20.165961523013397,12714.225509101965,,,,0,,,1.0875596455089884e-28
null,coda,71,131,ctl,0.007215827701794536,71.54261871728389,19.037895306564252,7904.739206282566,,,,0,,,1.5393837300893532e-27
null,coda,122,198,ctl,0.03929214372806225,44.05452317784957,218.58428441910243,5382.41806355002,,,,0,,,1.3268042968905501e-49
null,coda,92,201,ctl,0.0037675386452973012,66.17496196464282,14.608947696759518,8781.264906180459,,,,0,,,3.403174134179152e-27
null,coda,110,142,ctl,0.02543106261237832,69.57887645108053,74.0660073992822,7822.440568426709,,,,0,,,4.1844275134300236e-62
null,coda,42,72,ctl,0.0019007917977112221,24.27075042144606,48.934925808787845,11608.267105359539,,,,0,,,8.685918050581739e-32
null,coda,28,140,ctl,0.010921089299106401,80.12559322621189,18.181048871221147,9563.895637973157,,,,0,,,5.3504181541186696e-36
null,coda,63,126,ctl,0.005415273878103329,45.36772428876797,48.37477234508498,9048.430706695097,,,,0,,,3.650275804909215e-90
null,coda,56,75,ctl,0.0033187533029311253,61.223397025469126,18.391575495022412,10090.094836934037,,,,0,,,1.5643394383130697e-27
null,coda,139,184,ctl,0.0026770332593781046,41.96792769460397,17.972932125754703,6038.286143437453,,,,0,,,3.3898963641367536e-29
null,coda,81,189,ctl,0.0017771918876411713,37.556778868909696,24.525560093862186,10610.991487759651,,,,0,,,2.0989943820190956e-35
null,coda,147,196,ctl,0.013870418350536066,50.09851385759582,39.77580100360894,3429.515655747417,,,,0,,,3.2100437496272747e-77
null,coda,17,132,ctl,0.002630910364871213,39.353405884236565,22.626580977564334,7052.649364515896,,,,0,,,1.7734499114064923e-42
null,coda,110,201,ctl,0.020964112872957297,70.74500654365886,74.0660073992822,10114.098476109459,,,,0,,,1.155469132664345e-60
null,coda,61,172,ctl,0.0204077582760693,70.03957599075287,91.12109588209564,12293.963192695945,,,,0,,,2.980743629466961e-43
null,coda,31,53,ctl,0.002343629937720936,42.499590795366174,30.173030670161015,11797.123657379132,,,,0,,,4.20405034085914e-36
null,coda,31,199,ctl,0.013524468460291664,72.89137809021639,51.834502454232826,12451.543776827519,,,,0,,,1.6726163976284122e-28
null,coda,120,173,ctl,0.010732988782133353,60.16517919556765,33.084070241391174,5374.711782659171,,,,0,,,5.693693126749716e-35
null,coda,76,105,ctl,0.0041050736687228894,62.733219350905934,25.681414131221004,12138.074591322238,,,,0,,,4.0495778905156194e-27
null,coda,75,142,ctl,0.007270017757415327,72.85852364814343,18.181048871221147,8108.172262226566,,,,0,,,3.6115361824515936e-27
