trial_id,estimated_dvv,estimated_dvv_se,n_channels,nuisance_intercept_s,residual_scale_s,median_channel_correlation
N51aa5ffad8d9ac3d,0.0007925061943,0.001940247005,71,0.0002936574564,0.0004949534672,0.9798349142
N5b6ddefd05b29feb,-5.78353418e-05,0.001819687799,71,-0.0001369608021,0.0004123996022,0.9825865626
N2f0fa03c6b4da041,-0.001492273428,0.001832453327,71,-1.640118544e-05,0.000410728303,0.9726164341
N32667377e8ad3587,0.006576024111,0.002226250008,71,1.708142378e-05,0.0005474468799,0.9812321663
N0b3500d667e4eb1d,-0.002613186083,0.001609433582,71,-0.0003717328257,0.0003642729569,0.9844744802
N01469229037877a4,0.003606643696,0.001982498436,71,-7.680554552e-05,0.0004703758107,0.9799515605
N693c5b67cde2eb7c,0.003779490039,0.002258590175,71,0.0006204898511,0.0005956429793,0.9702659249
N21be9d3ccfd623df,0.0006826531048,0.001712586348,70,0.0001359205017,0.0003567133132,0.9892892241
N3139c9e3335fd2f1,0.002448841712,0.001891916772,71,-7.759792583e-06,0.0004403762377,0.9807376862
N3538d79ff75eb8a0,-0.001923182172,0.001610051262,71,-0.0003716798903,0.0003647434578,0.9850961566
N2906313b87ba0b32,0.0007377517833,0.001640308214,70,0.000681702617,0.0003521604673,0.9809496105
N685d61def4f63113,-0.005674458196,0.001968541109,71,-7.091357475e-05,0.0004966173131,0.9828007817
N067ad8a071433330,-0.001739865,0.001942338595,71,0.0006361292908,0.0004738491136,0.9801439047
N672aa27807d0e46b,-0.004725530423,0.001931034148,71,0.0006361691593,0.0004682975851,0.9801648855
N1a3b41ebe6f9829d,-0.0004635624529,0.001635129581,71,9.703552342e-05,0.0003841213255,0.9846442342
N6e3e8b43952c7699,0.0002057970626,0.001713165033,71,0.0004996227641,0.0004283917581,0.97779423
N7e035b305ab327a0,-0.01051491775,0.001911526076,70,0.0002614502343,0.000586858575,0.9797017574
N53c3b80de9e5af91,-0.00114643984,0.001817293885,71,-0.0001372730924,0.0004111862108,0.9832758307
N26a0f34ca98ff0a5,1.415310294e-05,0.001917147793,70,0.0002619082421,0.0005905416314,0.9794798791
N0c600d6ae21a2a48,7.117770828e-06,0.001712490392,71,0.0004996448602,0.0004279929551,0.977804482
N4bab25425ba7a167,0.001845162104,0.002127982219,71,-2.619670816e-05,0.0005453785814,0.9842079878
N7a02818cf1013334,0.0006637348546,0.001775551763,69,-0.0002122018267,0.00039995285,0.9860881567
N41de1b1bd7f45226,0.002301944366,0.002257844254,71,0.000620906397,0.0005944538492,0.9712221026
N0cc083646189ee4e,0.008997260469,0.001839576075,70,-2.658027218e-05,0.000449581424,0.9347425103
N470b5b07495bcfe1,0.0007802713442,0.001713405791,70,0.0001359121895,0.0003568765726,0.9893679023
N3968a417c0b4e501,0.001748315984,0.002170179799,71,-0.0003318285841,0.0004760169289,0.9795953631
N62c7d99c7e5d9e79,-0.0008898734989,0.001710379224,71,0.0004997029321,0.000425987802,0.9776382446
N0abdb9eaaa7ad7ce,-0.0006831526147,0.001834945882,71,0.0001298983009,0.0004632472223,0.9803968668
N24b1090e621c9668,-0.009176725323,0.002123094173,71,-2.705664337e-05,0.0005460503012,0.9858353138
N57b10453b6312d06,-0.01419998576,0.001992511299,71,-0.0002785628188,0.0004358881905,0.9810239077
N2d879994fe466ba2,-0.002082276474,0.001832971265,71,-1.627067934e-05,0.0004111042928,0.9710538983
N4521996c33ae8fe6,0.002558300228,0.002224694441,71,1.593975962e-05,0.0005470855425,0.9836832285
N61c0a0929bf8a566,0.002855926587,0.002270065794,71,-0.0001906199011,0.0005311871397,0.9820175767
N4e5414d6997be9bf,-0.004617524899,0.00211931969,71,-0.0003749134756,0.0005158973796,0.9450868964
N6febf3b8df292929,-0.009381173838,0.002085407912,69,-0.0003748698979,0.0004258397796,0.9818658233
N36614e46287f0a28,0.002841337181,0.002129702197,71,-2.608888117e-05,0.0005460743268,0.9838024378
N0f764e91cde8da96,-0.001591343538,0.002119143508,71,-0.0003738814271,0.000515577965,0.9475446343
N7bc739e1541975cb,1.195518958e-05,0.001859964971,70,-0.0001834733219,0.0004966269212,0.9845047593
N588693dd302ac931,0.001154799221,0.002152109367,71,4.491261228e-05,0.0005777184757,0.9767119884
N6e7cd2a38c887f39,0.003706149455,0.002023175045,70,-9.346008978e-05,0.0005323836415,0.982696414
N1e6ba1f4dc5efed3,-0.0001990096508,0.001942008297,71,0.0002936017327,0.0004955160727,0.9809178114
N59d66a2ed92f761d,0.0007938979534,0.001853211305,70,0.0001815898579,0.000474477132,0.9839351475
N19cd031f4715d925,-0.001959988228,0.001806653395,71,4.391115202e-05,0.0004318445525,0.9799003601
N2f59afdadf35eac1,-0.009725712671,0.002112151997,71,-0.0003773096273,0.0005121723115,0.945691824
N117615c26085ab82,-0.0009848134196,0.001918107997,70,0.0002616466899,0.0005902170287,0.9804328382
N50d020787a8452ac,-0.001651045591,0.001572006248,71,0.0002159781278,0.0003534531454,0.9864320755
N664e958ef2d67fef,0.002047569237,0.00217112276,71,-0.0003317716466,0.0004756805682,0.9791567326
N00025483ef53a8b2,0.001449925322,0.002169171686,71,-0.0003318675334,0.0004763125646,0.9796023369
N5c58d91c4709cae8,0.002397188476,0.002109138374,71,-0.0003733361458,0.0005062490671,0.9478305578
N083b81b46a141d93,0.001274070556,0.001928448971,71,0.0004480333399,0.0004812158118,0.9811975956
N4e6a7ddc36742cb1,-0.001219081909,0.001519985792,71,-0.0004056896673,0.0003544693517,0.9806120992
