band_low_hz,band_high_hz,canonical_burst_index,n_common_drops,positive_slowness_ms_per_m,positive_t0_s,positive_semblance,negative_slowness_ms_per_m,negative_t0_s,negative_semblance,direction_margin
25.0,35.0,22,18,0.32786885245901637,-0.05199999999999996,0.09960570186376572,-0.588235294117647,-0.019999999999999934,0.04550260677933693,0.05410309508442879
25.0,35.0,23,18,0.33898305084745767,-0.1,0.14051182568073273,-0.6666666666666666,-0.07599999999999998,0.060188211500644684,0.08032361418008804
25.0,35.0,24,20,0.33898305084745767,-0.1,0.14261123538017273,-0.6060606060606061,0.05200000000000013,0.04666885733604431,0.09594237804412842
25.0,35.0,25,20,0.625,0.15200000000000022,0.04382127523422241,-0.45454545454545453,-0.007999999999999924,0.03380146250128746,0.010019812732934952
25.0,35.0,26,18,0.28571428571428575,-0.1,0.034827083349227905,-0.22727272727272727,-0.02799999999999994,0.04367831349372864,-0.008851230144500732
25.0,35.0,27,19,0.3076923076923077,-0.088,0.03470873460173607,-0.2702702702702703,0.04000000000000012,0.023939942941069603,0.010768791660666466
25.0,35.0,28,17,0.3448275862068965,-0.1,0.45171603560447693,-0.588235294117647,-0.07999999999999999,0.06455844640731812,0.3871575891971588
25.0,35.0,29,18,0.3448275862068965,-0.1,0.4784798324108124,-0.625,-0.096,0.06654322147369385,0.41193661093711853
25.0,35.0,30,19,0.5714285714285715,0.16000000000000023,0.09822994470596313,-0.6060606060606061,-0.06399999999999997,0.06396868824958801,0.03426125645637512
25.0,35.0,31,18,0.31746031746031744,-0.092,0.04481446370482445,-0.6451612903225806,0.15200000000000022,0.032976891845464706,0.011837571859359741
25.0,35.0,32,19,0.35714285714285715,-0.1,0.041566357016563416,-0.3333333333333333,0.05600000000000013,0.03317968547344208,0.008386671543121338
25.0,35.0,33,19,0.3448275862068965,-0.05999999999999997,0.08760127425193787,-0.625,-0.00399999999999992,0.04554760828614235,0.04205366596579552
25.0,35.0,34,21,0.3508771929824561,-0.06799999999999998,0.2358819991350174,-0.625,-0.07999999999999999,0.07049628347158432,0.16538571566343307
25.0,35.0,35,17,0.3448275862068965,-0.1,0.47593173384666443,-0.625,-0.07999999999999999,0.06438574194908142,0.411545991897583
25.0,35.0,36,19,0.35714285714285715,-0.1,0.08014193922281265,-0.625,-0.06399999999999997,0.04474528506398201,0.03539665415883064
25.0,35.0,37,18,0.30303030303030304,-0.043999999999999956,0.04915359616279602,-0.6451612903225806,0.3080000000000004,0.03852804750204086,0.010625548660755157
25.0,35.0,38,19,0.3448275862068965,-0.1,0.49585941433906555,-0.5263157894736842,-0.1,0.06352459639310837,0.4323348179459572
25.0,35.0,39,22,0.5263157894736842,0.18400000000000025,0.06287451833486557,-0.588235294117647,-0.007999999999999924,0.03730608895421028,0.02556842938065529
25.0,35.0,40,18,0.33898305084745767,-0.055999999999999966,0.08788106590509415,-0.2898550724637681,0.2480000000000003,0.041418325155973434,0.04646274074912071
25.0,35.0,41,18,0.5714285714285715,0.17600000000000024,0.03888269513845444,-0.2777777777777778,-0.007999999999999924,0.03265126049518585,0.006231434643268585
25.0,35.0,42,19,0.3448275862068965,-0.1,0.490447998046875,-0.5714285714285715,-0.096,0.06780263781547546,0.42264536023139954
25.0,35.0,43,19,0.3448275862068965,-0.1,0.47310173511505127,-0.625,-0.096,0.07035240530967712,0.40274932980537415
25.0,35.0,44,18,0.3448275862068965,-0.1,0.3197198808193207,-0.625,-0.04799999999999996,0.05234423279762268,0.267375648021698
25.0,35.0,45,19,0.3448275862068965,-0.06399999999999997,0.06452251225709915,-0.39215686274509803,0.3160000000000004,0.03662288561463356,0.02789962664246559
35.0,45.0,0,18,0.33898305084745767,-0.1,0.6739706993103027,-0.20833333333333334,0.3160000000000004,0.04012889415025711,0.6338418051600456
35.0,45.0,1,17,0.33898305084745767,-0.043999999999999956,0.24837836623191833,-0.28169014084507044,0.06000000000000014,0.03443409502506256,0.21394427120685577
