leg,band_low_hz,band_high_hz,aperture_index,start_m,stop_m,center_m,direction,discovery_slowness_ms_per_m,discovery_center_time_s,discovery_semblance,validation_semblance
outbound,15.0,30.0,13,2601.3806,2993.4254,2800.46585,negative,-0.6267806267806268,2.66,0.08420056790267977,0.04082319661960354
outbound,15.0,30.0,14,2801.4868,3193.5316000000003,3000.57205,positive,0.6267806267806268,2.084,0.38578460475597115,0.48034325396501504
outbound,15.0,30.0,14,2801.4868,3193.5316000000003,3000.57205,negative,-0.6623931623931624,2.7479999999999998,0.07705119328450362,0.15407380260496595
outbound,15.0,30.0,15,3001.593,3393.6378,3200.67825,positive,0.6445868945868946,2.1799999999999997,0.5637071857363538,0.4753424120408541
outbound,15.0,30.0,15,3001.593,3393.6378,3200.67825,negative,-0.7692307692307693,0.027999999999999997,0.06993633009930314,0.05181605276858175
return,3.0,15.0,0,0.0,392.0448,199.08525,positive,0.698005698005698,2.2039999999999997,0.05108286320619178,0.0301065798030869
return,3.0,15.0,0,0.0,392.0448,199.08525,negative,-0.698005698005698,1.3519999999999999,0.046054301119926776,0.02985383471285858
return,3.0,15.0,1,200.1062,592.1510000000001,399.19145000000003,positive,0.7514245014245015,0.56,0.10216098841535778,0.06828530387157661
return,3.0,15.0,1,200.1062,592.1510000000001,399.19145000000003,negative,-0.7692307692307693,0.864,0.057463159142015975,0.008942048058619465
return,3.0,15.0,2,400.2124,792.2572,599.29765,positive,0.6623931623931624,0.66,0.08014354658253707,0.03842830209631945
return,3.0,15.0,2,400.2124,792.2572,599.29765,negative,-0.7692307692307693,0.412,0.07353572915362508,0.015901995937644423
return,3.0,15.0,3,600.3186000000001,992.3634000000001,799.40385,positive,0.5555555555555556,2.1,0.09525456355258453,0.024930885001740264
return,3.0,15.0,3,600.3186000000001,992.3634000000001,799.40385,negative,-0.5733618233618234,0.932,0.08358803734748527,0.013305139884755497
return,3.0,15.0,4,800.4248,1192.4696000000001,999.51005,positive,0.7692307692307693,0.39599999999999996,0.06011516935390593,0.017400912091599954
return,3.0,15.0,4,800.4248,1192.4696000000001,999.51005,negative,-0.5555555555555556,1.3679999999999999,0.06236985496240357,0.04787526481161966
return,3.0,15.0,5,1000.5310000000001,1392.5758,1199.61625,positive,0.6445868945868946,0.14,0.1048325116458234,0.025929258882971436
return,3.0,15.0,5,1000.5310000000001,1392.5758,1199.61625,negative,-0.5555555555555556,2.38,0.0700608257806343,0.04632688885948471
return,3.0,15.0,6,1200.6372000000001,1592.682,1399.72245,positive,0.5555555555555556,1.044,0.10798052885291298,0.028043068367867637
return,3.0,15.0,6,1200.6372000000001,1592.682,1399.72245,negative,-0.5555555555555556,0.9800000000000001,0.06330806778614202,0.04567868424723494
return,3.0,15.0,7,1400.7434,1792.7882,1599.82865,positive,0.5911680911680912,1.5839999999999999,0.10379829901502437,0.04279305677552116
return,3.0,15.0,7,1400.7434,1792.7882,1599.82865,negative,-0.608974358974359,2.104,0.08557840011935777,0.026888643728529997
return,3.0,15.0,8,1600.8496,1992.8944000000001,1799.93485,positive,0.7692307692307693,0.536,0.09854722633643455,0.01084764672378073
